ID,name,location,type,adname,address,X,Y
14,汕头市宏祥织绣厂,"116.719877,23.371555",公司企业;公司;冶金化工,龙湖区,龙湖北路粤通大厦8楼,116.719877,23.371555
15,桂东电脑绣花厂,"116.719407,23.376903",公司企业;公司;冶金化工,龙湖区,练江路龙湖工业区F4栋南座西梯2楼,116.719407,23.376903
16,热狗王加工厂,"116.729693,23.373606",公司企业;公司;冶金化工,龙湖区,衡山路与珠池路交界处珠合市场后鸿珠厂房1楼,116.729693,23.373606
17,珠合印刷厂,"116.730496,23.374081",公司企业;公司;冶金化工,龙湖区,新津街道衡山路华诚大厦,116.730496,23.374081
18,兴韵服装厂,"116.728387,23.385011",公司企业;公司;冶金化工,龙湖区,衡山中街新利大厦,116.728387,23.385011
19,嘉彩UV印刷加工厂,"116.728963,23.387513",公司企业;公司;冶金化工,龙湖区,衡山路东二街15号,116.728963,23.387513
20,汕头市恒德绣花厂,"116.725847,23.385658",公司企业;公司;冶金化工,龙湖区,衡山路华生大厦2楼,116.725847,23.385658
21,保健品厂,"116.725016,23.387066",公司企业;公司;冶金化工,龙湖区,龙祥街道衡山路66号琪雅大厦五楼保健品厂,116.725016,23.387066
22,不锈门厂,"116.724206,23.386242",公司企业;公司;冶金化工,龙湖区,衡山路宏成大厦一楼,116.724206,23.386242
23,特力烘干机厂,"116.724552,23.401058",公司企业;公司;冶金化工,龙湖区,嵩山北路天信酒店东侧约40米,116.724552,23.401058
24,晟光印刷厂,"116.731030,23.387611",公司企业;公司;冶金化工,龙湖区,嵩山北路145号,116.73103,23.387611
25,天时万吉工厂,"116.705505,23.427374",公司企业;公司;冶金化工,龙湖区,万吉北街与珠峰北路交叉路口往东约80米,116.705505,23.427374
26,志贤石板厂,"116.727702,23.417440",公司企业;公司;冶金化工,龙湖区,汕樟路广东省汕头市农副产品批发中心市场东侧约200米,116.727702,23.41744
27,达源软膜灯箱厂,"116.744367,23.394402",公司企业;公司;冶金化工,龙湖区,龙新五街与泰山中路交叉路口往东南约200米,116.744367,23.394402
28,汕头恒业胶带厂,"116.757621,23.366519",公司企业;公司;冶金化工,龙湖区,金砂东路入口铁路边宏大楼4楼,116.757621,23.366519
29,小魏干果加工厂,"116.718432,23.423690",公司企业;公司;冶金化工,龙湖区,泰山北路汕头水果中心市场,116.718432,23.42369
